env,backbone,safe_acc,unsafe_acc,corr,avg_violation,avg_success
dubins,dino_cls,0.968,0.992,0.976,5.2,1
dubins,dino,0.93,1,0.981,10.9,1
dubins,vc1,0.957,0.944,0.958,9.2,1
dubins,r3m,0.923,0.945,0.963,9.8,1
dubins,resnet,0.954,0.998,0.974,12.8,1
dubins,scratch,0.961,0.996,0.935,7.7,1
dubins,dino_cls_ft,0.958,0.85,0.908,2.5,1
dubins,dino_ft,0.927,0.988,0.949,5.1,1
dubins,vc1_ft,0.976,0.958,0.956,10.3,1
dubins,r3m_ft,0.963,0.999,0.942,8.9,1
dubins,resnet_ft,0.981,0.983,0.966,7.8,1
dubins,scratch_ft,0.962,0.997,0.922,6.4,1
dubins,full_scratch,0.957,0.954,0.922,6.6,1
maniskill,dino_cls,0.868,0.963,0.451,1.3,0.5
maniskill,dino,0.971,0.825,0.77,3.3,0.8
maniskill,vc1,0.858,0.956,0.461,7.7,0.9
maniskill,r3m,0.874,0.972,0.514,3.4,0.7
maniskill,resnet,0.863,0.959,0.451,12.5,0.7
maniskill,scratch,0.894,0.979,0.442,4.1,0.7		
maniskill,dino_cls_ft,0.897,0.902,0.449,0.9,0.6
maniskill,dino_ft,0.876,0.949,0.617,4.2,0.7
maniskill,vc1_ft,0.866,0.945,0.489,1.9,0.9
maniskill,r3m_ft,0.896,0.946,0.542,0.4,0.6
maniskill,resnet_ft,0.879,0.97,0.62,6.7,0.8
maniskill,scratch_ft,0.906,0.973,0.517,8.7,0.7
maniskill,full_scratch,0.877,0.944,0.494,3.8,0.9
cargoal,dino_cls,0.92,0.697,0.901,91.8,0.7
cargoal,dino,0.876,0.688,0.923,174.9,0.3
cargoal,vc1,0.784,0.631,0.785,71.8,0.7
cargoal,r3m,0.847,0.688,0.871,50.8,1
cargoal,resnet,0.865,0.673,0.899,63.3,0.7
cargoal,scratch,0.821,0.691,0.93,59.4,0.5
cargoal,dino_cls_ft,0.926,0.675,0.899,69.2,0.4
cargoal,dino_ft,0.938,0.681,0.927,83.4,0.6
cargoal,vc1_ft,0.579,0.839,0.789,21.4,0.1
cargoal,r3m_ft,0.945,0.687,0.924,37.1,0.7
cargoal,resnet_ft,0.957,0.694,0.902,24.3,0.3
cargoal,scratch_ft,0.958,0.689,0.909,26.3,0.1
cargoal,full_scratch,0.748,0.703,0.801,113.22,0.56
carla,dino_cls,0.487,0.632,0.238,None,None
carla,dino,0.556,0.572,0.305,None,None
carla,vc1,0.501,0.579,0.556,None,None
carla,r3m,0.547,0.563,0.488,None,None
carla,resnet,0.549,0.512,0.395,None,None
carla,scratch,0.573,0.515,0.638,None,None
carla,dino_cls_ft,0.464,0.614,0.6,None,None
carla,dino_ft,0.541,0.576,0.314,None,None
carla,vc1_ft,0.501,0.579,0.428,None,None
carla,r3m_ft,0.776,0.656,0.496,None,None
carla,resnet,0.746,0.701,0.551,None,None
carla,scratch,0.573,0.555,0.615,None,None
carla,full_scratch,0.434,0.638,0.436,None,None
